date,GTrends_BTC,GTrends_ETH
2022-01-01,45,12
2022-01-02,61,15
2022-01-03,61,15
2022-01-04,61,15
2022-01-05,61,15
2022-01-06,61,15
2022-01-07,61,15
2022-01-08,61,15
2022-01-09,56,14
2022-01-10,56,14
2022-01-11,56,14
2022-01-12,56,14
2022-01-13,56,14
2022-01-14,56,14
2022-01-15,56,14
2022-01-16,62,15
2022-01-17,62,15
2022-01-18,62,15
2022-01-19,62,15
2022-01-20,62,15
2022-01-21,62,15
2022-01-22,62,15
2022-01-23,77,17
2022-01-24,77,17
2022-01-25,77,17
2022-01-26,77,17
2022-01-27,77,17
2022-01-28,77,17
2022-01-29,77,17
2022-01-30,57,15
2022-01-31,57,15
2022-02-01,57,15
2022-02-02,57,15
2022-02-03,57,15
2022-02-04,57,15
2022-02-05,57,15
2022-02-06,56,13
2022-02-07,56,13
2022-02-08,56,13
2022-02-09,56,13
2022-02-10,56,13
2022-02-11,56,13
2022-02-12,56,13
2022-02-13,45,12
2022-02-14,45,12
2022-02-15,45,12
2022-02-16,45,12
2022-02-17,45,12
2022-02-18,45,12
2022-02-19,45,12
2022-02-20,60,12
2022-02-21,60,12
2022-02-22,60,12
2022-02-23,60,12
2022-02-24,60,12
2022-02-25,60,12
2022-02-26,60,12
2022-02-27,54,11
2022-02-28,54,11
2022-03-01,54,11
2022-03-02,54,11
2022-03-03,54,11
2022-03-04,54,11
2022-03-05,54,11
2022-03-06,49,10
2022-03-07,49,10
2022-03-08,49,10
2022-03-09,49,10
2022-03-10,49,10
2022-03-11,49,10
2022-03-12,49,10
2022-03-13,42,9
2022-03-14,42,9
2022-03-15,42,9
2022-03-16,42,9
2022-03-17,42,9
2022-03-18,42,9
2022-03-19,42,9
2022-03-20,39,10
2022-03-21,39,10
2022-03-22,39,10
2022-03-23,39,10
2022-03-24,39,10
2022-03-25,39,10
2022-03-26,39,10
2022-03-27,43,11
2022-03-28,43,11
2022-03-29,43,11
2022-03-30,43,11
2022-03-31,43,11
2022-04-01,43,11
2022-04-02,43,11
2022-04-03,38,10
2022-04-04,38,10
2022-04-05,38,10
2022-04-06,38,10
2022-04-07,38,10
2022-04-08,38,10
2022-04-09,38,10
2022-04-10,38,9
2022-04-11,38,9
2022-04-12,38,9
2022-04-13,38,9
2022-04-14,38,9
2022-04-15,38,9
2022-04-16,38,9
2022-04-17,34,8
2022-04-18,34,8
2022-04-19,34,8
2022-04-20,34,8
2022-04-21,34,8
2022-04-22,34,8
2022-04-23,34,8
2022-04-24,34,7
2022-04-25,34,7
2022-04-26,34,7
2022-04-27,34,7
2022-04-28,34,7
2022-04-29,34,7
2022-04-30,34,7
2022-05-01,39,8
2022-05-02,39,8
2022-05-03,39,8
2022-05-04,39,8
2022-05-05,39,8
2022-05-06,39,8
2022-05-07,39,8
2022-05-08,82,13
2022-05-09,82,13
2022-05-10,82,13
2022-05-11,82,13
2022-05-12,82,13
2022-05-13,82,13
2022-05-14,82,13
2022-05-15,55,9
2022-05-16,55,9
2022-05-17,55,9
2022-05-18,55,9
2022-05-19,55,9
2022-05-20,55,9
2022-05-21,55,9
2022-05-22,45,8
2022-05-23,45,8
2022-05-24,45,8
2022-05-25,45,8
2022-05-26,45,8
2022-05-27,45,8
2022-05-28,45,8
2022-05-29,37,8
2022-05-30,37,8
2022-05-31,37,8
2022-06-01,37,8
2022-06-02,37,8
2022-06-03,37,8
2022-06-04,37,8
2022-06-05,37,8
2022-06-06,37,8
2022-06-07,37,8
2022-06-08,37,8
2022-06-09,37,8
2022-06-10,37,8
2022-06-11,37,8
2022-06-12,100,18
2022-06-13,100,18
2022-06-14,100,18
2022-06-15,100,18
2022-06-16,100,18
2022-06-17,100,18
2022-06-18,100,18
2022-06-19,75,12
2022-06-20,75,12
2022-06-21,75,12
2022-06-22,75,12
2022-06-23,75,12
2022-06-24,75,12
2022-06-25,75,12
2022-06-26,53,9
2022-06-27,53,9
2022-06-28,53,9
2022-06-29,53,9
2022-06-30,53,9
2022-07-01,53,9
2022-07-02,53,9
2022-07-03,49,8
2022-07-04,49,8
2022-07-05,49,8
2022-07-06,49,8
2022-07-07,49,8
2022-07-08,49,8
2022-07-09,49,8
